Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HC,AC,HF,AF,HY,AY,HR,AR,Referee,PSCH,PSCD,PSCA,liga,temporada,xG_casa,xG_fora
SP1,2016-09-17,Las Palmas,Malaga,1,0,H,2.0,2.0,11.0,18.0,3.0,1.0,0.0,0.0,,2.26,3.44,3.48,La Liga,1617,0.869251,0.645227
SP1,2016-09-17,Leganes,Barcelona,1,5,A,2.0,5.0,28.0,7.0,4.0,2.0,0.0,0.0,,18.25,7.9,1.19,La Liga,1617,1.18104,2.94825
SP1,2016-09-18,Ath Bilbao,Valencia,2,1,H,7.0,1.0,19.0,20.0,4.0,4.0,0.0,0.0,,1.89,3.74,4.46,La Liga,1617,1.34212,1.53251
SP1,2016-09-18,Espanol,Real Madrid,0,2,A,4.0,5.0,19.0,8.0,4.0,2.0,0.0,0.0,,7.84,5.13,1.43,La Liga,1617,0.830388,1.23959
SP1,2016-09-18,Osasuna,Celta,0,0,D,3.0,5.0,18.0,13.0,4.0,1.0,0.0,0.0,,3.5,3.31,2.32,La Liga,1617,0.259738,0.683638
SP1,2016-09-18,Villarreal,Sociedad,2,1,H,3.0,6.0,13.0,16.0,2.0,3.0,0.0,1.0,,1.85,3.42,5.35,La Liga,1617,1.42126,1.03528
SP1,2016-09-19,Alaves,La Coruna,0,0,D,4.0,5.0,16.0,8.0,3.0,4.0,0.0,0.0,,2.4,3.11,3.55,La Liga,1617,0.45933,0.671784
SP1,2016-09-20,Malaga,Eibar,2,1,H,7.0,5.0,7.0,13.0,2.0,4.0,0.0,0.0,,1.79,3.51,5.65,La Liga,1617,0.474926,1.77918
SP1,2016-09-20,Sevilla,Betis,1,0,H,6.0,2.0,24.0,17.0,5.0,4.0,0.0,0.0,,1.54,4.44,6.8,La Liga,1617,0.74909,0.450469
SP1,2016-09-21,Celta,Sp Gijon,2,1,H,8.0,0.0,16.0,8.0,2.0,3.0,0.0,0.0,,1.63,4.22,5.88,La Liga,1617,1.38706,0.847147
SP1,2016-09-21,Real Madrid,Villarreal,1,1,D,17.0,3.0,9.0,9.0,4.0,1.0,0.0,0.0,,1.26,6.77,12.24,La Liga,1617,1.34367,1.0322
