Date,liga,HomeTeam,AwayTeam,selecao,prob_modelo,odd_prejogo,odd_fechamento,ev,clv,ganhou,retorno_papel
2023-09-16,Championship,Sheffield Weds,Ipswich,casa,0.2841761067471588,3.89,3.97,0.10544505524644787,-0.04746859520240898,False,-1.0
2023-09-16,Championship,Huddersfield,Rotherham,fora,0.2778615273365044,4.44,4.52,0.23370518137407958,-0.04687658378703852,False,-1.0
2023-09-16,Championship,Bristol City,West Brom,fora,0.3849246769962158,3.01,3.44,0.1586232777586094,-0.14845949396774105,False,-1.0
2023-09-16,Championship,Preston,Plymouth,fora,0.4127168810723128,3.84,3.77,0.5848328233176812,-0.009850086313940243,False,-1.0
2023-09-17,Championship,Millwall,Leeds,casa,0.3660075049226837,3.13,3.83,0.1456034904079999,-0.2059484661241453,False,-1.0
2023-09-19,Championship,Bristol City,Plymouth,fora,0.4317209958893462,4.44,5.34,0.9168412217486974,-0.19337859643781385,False,-1.0
2023-09-19,Championship,Cardiff,Coventry,fora,0.389835208226664,2.7,2.69,0.0525550622119928,-0.02337725870257723,False,-1.0
2023-09-19,Championship,Preston,Birmingham,casa,0.461026064940126,2.4,2.42,0.10646255585630238,-0.03484991790316372,True,1.4
2023-09-19,Championship,QPR,Swansea,fora,0.3978297481575012,2.68,2.68,0.06618372506210335,-0.026288609149524023,False,-1.0
2023-09-19,Championship,Southampton,Ipswich,fora,0.4320337485559255,3.05,3.28,0.31770293309557274,-0.09629793660243657,True,2.05
2023-09-20,Championship,Norwich,Leicester,empate,0.2858932550214644,3.73,3.6,0.0663818412300623,0.00873578776394135,False,-1.0
2023-09-20,Championship,Millwall,Rotherham,fora,0.2203470094593985,5.17,5.65,0.1391940389050903,-0.11294071740324318,False,-1.0
2023-09-20,Championship,Huddersfield,Stoke,casa,0.3713607518588699,2.83,3.13,0.05095092776060195,-0.1209607497645594,False,-1.0
2023-09-20,Championship,Blackburn,Sunderland,fora,0.3768752354707146,3.02,3.11,0.13816321112155805,-0.055173350910851626,True,2.02
2023-09-20,Championship,Hull,Leeds,casa,0.3149016868355977,3.9,3.83,0.22811657865883106,-0.010714261632964295,False,-1.0
2023-09-22,Championship,Birmingham,QPR,fora,0.3003269310494599,4.65,4.48,0.39652022937998854,0.007295483077553788,False,-1.0
2023-09-23,Championship,Swansea,Sheffield Weds,casa,0.5575646283626414,1.97,2.07,0.09840231787440357,-0.07539686520376165,True,0.97
2023-09-23,Championship,Rotherham,Preston,casa,0.3664445969802379,3.44,3.52,0.26056941361201846,-0.04977489765544685,False,-1.0
2023-09-23,Championship,Plymouth,Norwich,casa,0.4486121192110844,3.44,3.43,0.5432256900861303,-0.02604889724739301,True,2.44
2023-09-23,Championship,Leicester,Bristol City,empate,0.2533175352878308,4.17,4.28,0.05633412215025446,-0.0542890719921052,False,-1.0
2023-09-23,Championship,Leeds,Watford,fora,0.2898734583798695,4.64,4.7,0.34501284688259437,-0.041173007419519125,False,-1.0
2023-09-23,Championship,Ipswich,Blackburn,fora,0.2837933513431797,4.77,5.02,0.35369428590696694,-0.07740782515242772,False,-1.0
2023-09-23,Championship,Middlesbrough,Southampton,casa,0.6107469269865463,2.5,2.21,0.5268673174663658,0.09957706476400374,True,1.5
2023-09-24,Championship,Stoke,Hull,fora,0.2705686519435764,3.97,3.82,0.07415754821599818,0.010825897876786561,True,2.97
2023-09-24,Championship,Sunderland,Cardiff,casa,0.5578670025115993,1.96,1.97,0.09341932492273464,-0.03339236192321837,False,-1.0
2023-09-25,Championship,Coventry,Huddersfield,fora,0.2324156323593771,4.53,4.04,0.05284281458797824,0.08919089018080961,False,-1.0
2023-09-29,Championship,Sheffield Weds,Sunderland,fora,0.4968865700920605,2.29,2.25,0.1378702455108185,-0.009514696961341218,True,1.29
2023-09-30,Championship,Norwich,Birmingham,casa,0.5809870151077334,1.93,1.89,0.1213049391579255,-0.009480561551612032,True,0.9299999999999999
2023-09-30,Championship,Watford,Middlesbrough,casa,0.4380300271706516,2.46,2.78,0.07755386683980281,-0.13830961092699368,False,-1.0
2023-09-30,Championship,Preston,West Brom,fora,0.3688492508935265,3.11,3.0,0.14712117027886729,0.010249415131184714,True,2.11
2023-09-30,Championship,Millwall,Swansea,fora,0.2881902776944872,3.85,3.36,0.10953256912377562,0.11447368421052628,True,2.85
2023-09-30,Championship,Huddersfield,Ipswich,casa,0.3561207240716589,3.88,3.53,0.38174840939803656,0.06895038963537825,False,-1.0
2023-09-30,Championship,Cardiff,Rotherham,fora,0.2795437964861377,5.2,6.43,0.453627741727916,-0.21542226346210935,False,-1.0
2023-09-30,Championship,Southampton,Leeds,fora,0.4747285138684067,2.38,2.28,0.1298538630068078,0.015500264690312404,False,-1.0
2023-09-30,Championship,Hull,Plymouth,fora,0.4281076805388799,3.96,4.21,0.6953064149339643,-0.08586598795453959,False,-1.0
2023-09-30,Championship,Bristol City,Stoke,fora,0.3393456381959212,3.23,2.81,0.09608641137282548,0.11824545198056757,True,2.23
2023-10-01,Championship,Blackburn,Leicester,empate,0.2955996825310756,3.82,3.96,0.1291907872687088,-0.06290051265619989,False,-1.0
2023-10-03,Championship,Birmingham,Huddersfield,fora,0.3316232502291368,3.4,3.83,0.1275190507790651,-0.1362295076097969,False,-1.0
2023-10-03,Championship,Ipswich,Hull,fora,0.2449190261139102,4.74,4.44,0.16091618377993444,0.035052859626774735,False,-1.0
2023-10-03,Championship,Plymouth,Millwall,casa,0.4708634496291137,2.49,2.6,0.17244998957649327,-0.06777274371323605,False,-1.0
2023-10-03,Championship,Stoke,Southampton,casa,0.5280865477219052,2.78,3.02,0.46808060266689644,-0.10339328145758209,False,-1.0
2023-10-03,Championship,West Brom,Sheffield Weds,fora,0.180725407124253,6.36,6.56,0.14941358931024906,-0.057532206418943965,False,-1.0
2023-10-04,Championship,Rotherham,Bristol City,casa,0.3823954251712954,4.01,4.09,0.5334056549368944,-0.04701770736253508,False,-1.0
2023-10-04,Championship,Swansea,Norwich,casa,0.3661272759418914,2.94,2.82,0.07641419126916071,0.013990275526742257,True,1.94
2023-10-04,Championship,Sunderland,Watford,fora,0.2930303274230739,4.16,3.61,0.21900616207998747,0.11989049701388255,False,-1.0
2023-10-04,Championship,Leeds,QPR,fora,0.1809698197087926,8.65,9.47,0.5653889404810561,-0.11672015646261213,False,-1.0
2023-10-04,Championship,Leicester,Preston,fora,0.1889943215538386,7.13,7.17,0.34752951267886933,-0.03581740433463687,False,-1.0
2023-10-06,Championship,Birmingham,West Brom,fora,0.4183927740906027,2.68,2.68,0.12129263456281536,-0.026834827651816773,False,-1.0
2023-10-07,Championship,Plymouth,Swansea,casa,0.5286225968041416,2.46,2.54,0.30041158813818836,-0.05703783260471662,False,-1.0
2023-10-07,Championship,Southampton,Rotherham,fora,0.2753649962034635,9.29,10.84,1.5581408147301756,-0.1682739108989213,False,-1.0
2023-10-07,Championship,Millwall,Hull,casa,0.4675579984864869,2.32,2.6,0.08473455648864947,-0.13143139190523223,False,-1.0
2023-10-07,Championship,Leeds,Bristol City,fora,0.215068581967861,5.77,6.55,0.24094571795455777,-0.14389561106099724,False,-1.0
2023-10-07,Championship,Ipswich,Preston,fora,0.255312514849088,5.61,6.39,0.43230320830338376,-0.15063464514380787,False,-1.0
2023-10-07,Championship,Cardiff,Watford,fora,0.4000260319713174,3.09,3.56,0.23608043879137086,-0.1549878918511235,False,-1.0
2023-10-07,Championship,Sunderland,Middlesbrough,casa,0.4705560218969017,2.4,2.27,0.12933445255256415,0.02914152859118868,False,-1.0
2023-10-07,Championship,Leicester,Stoke,fora,0.2069356451730505,6.15,7.06,0.2726542178142606,-0.1532533094904992,False,-1.0
2023-10-21,Championship,Hull,Southampton,casa,0.4490388220219167,2.97,3.06,0.33364530140509263,-0.05644975709537192,False,-1.0
2023-10-21,Championship,Preston,Millwall,fora,0.3519219744576114,3.17,3.23,0.11559265903062821,-0.04433654612653082,False,-1.0
2023-10-21,Championship,Bristol City,Coventry,fora,0.3744687654789521,2.97,2.54,0.11217223347248773,0.1378091947242004,False,-1.0
2023-10-21,Championship,Huddersfield,QPR,fora,0.257188506372644,4.13,4.65,0.0621885313190198,-0.13749297669449623,False,-1.0
2023-10-21,Championship,Norwich,Leeds,casa,0.3456774197988646,3.21,3.65,0.10962451755435554,-0.14537533175216788,False,-1.0
2023-10-21,Championship,Stoke,Sunderland,fora,0.3988522973546018,2.82,3.38,0.12476347853997716,-0.1877673305346983,False,-1.0
2023-10-21,Championship,Swansea,Leicester,fora,0.6652175918333789,1.78,1.83,0.18408731346341445,-0.056003913179427434,True,0.78
2023-10-21,Championship,West Brom,Plymouth,fora,0.2286771277489346,4.88,5.23,0.11594438341480084,-0.09460940314003008,False,-1.0
2023-10-24,Championship,Leicester,Sunderland,casa,0.7163819446258396,1.53,1.56,0.09606437527753453,-0.046680781803886906,True,0.53
2023-10-24,Championship,West Brom,QPR,fora,0.1823053589916307,5.78,5.69,0.05372497497162554,-0.015027337088247772,False,-1.0
2023-10-24,Championship,Norwich,Middlesbrough,casa,0.4254251039628548,2.83,2.69,0.20395304421487914,0.02402193549847076,False,-1.0
2023-10-24,Championship,Millwall,Blackburn,casa,0.42501330404317,2.52,2.68,0.07103352618878844,-0.08470224521342529,False,-1.0
2023-10-25,Championship,Birmingham,Hull,fora,0.3388393578269866,3.22,3.01,0.09106273220289696,0.04176071733495679,True,2.22
2023-10-25,Championship,Bristol City,Ipswich,casa,0.2974764712256935,3.55,4.03,0.05604147285121175,-0.14484440330974968,False,-1.0
2023-10-25,Championship,Plymouth,Sheffield Weds,casa,0.5803820417402317,2.06,2.35,0.19558700598487722,-0.14688395353799277,True,1.06
2023-10-25,Championship,Preston,Southampton,casa,0.4347372724309912,3.54,3.18,0.5389699444057088,0.08383136927964663,False,-1.0
2023-10-25,Championship,Rotherham,Coventry,casa,0.2727478594845102,4.2,5.34,0.14554100983494278,-0.23722719318519492,True,3.2
2023-10-25,Championship,Stoke,Leeds,casa,0.2820259331580579,3.96,4.19,0.11682269530590927,-0.0839097454482367,True,2.96
2023-10-28,Championship,Watford,Millwall,fora,0.2903986594746551,3.95,3.74,0.14707470492488772,0.02699425329162719,False,-1.0
2023-10-28,Championship,QPR,Leicester,fora,0.7518021085051011,1.4,1.48,0.05252295190714151,-0.0886153360720906,True,0.3999999999999999
2023-10-28,Championship,Middlesbrough,Stoke,fora,0.2422215042027664,4.56,4.69,0.10453005916461455,-0.05674426898968399,True,3.5599999999999996
2023-10-28,Championship,Ipswich,Plymouth,fora,0.1671850398901569,7.45,7.96,0.24552854718166883,-0.095049069688245,False,-1.0
2023-10-28,Championship,Southampton,Birmingham,fora,0.2808965055862155,5.54,6.42,0.5561666409476338,-0.1635779569547885,False,-1.0
2023-10-28,Championship,Cardiff,Bristol City,fora,0.3084768485276793,3.41,3.74,0.05190605347938648,-0.11420235294117642,False,-1.0
2023-10-28,Championship,Blackburn,Swansea,fora,0.332679111228639,3.62,3.69,0.2042983826476732,-0.04626320241530191,True,2.62
2023-10-28,Championship,Leeds,Huddersfield,fora,0.1683027895672105,8.71,9.7,0.46591729713040375,-0.13157003458595018,False,-1.0
2023-10-28,Championship,Hull,Preston,fora,0.2928629359763214,3.83,4.07,0.12166504478931106,-0.08542397159605863,False,-1.0
2023-10-29,Championship,Sheffield Weds,Rotherham,fora,0.3503853317289334,4.65,4.73,0.6292917925395403,-0.046074205940223045,False,-1.0
2023-11-03,Championship,Leicester,Leeds,casa,0.645080158845318,2.24,2.14,0.44497955581351234,0.01902819913462972,False,-1.0
2023-11-04,Championship,Bristol City,Sheffield Weds,casa,0.5498614704968964,2.15,2.24,0.18220216156832714,-0.06586434098628602,True,1.15
2023-11-04,Championship,Huddersfield,Watford,casa,0.3439065263512285,3.27,3.67,0.12457434116851718,-0.13322151028931428,False,-1.0
2023-11-04,Championship,Millwall,Southampton,casa,0.4925677796060705,3.55,3.65,0.7486156176015502,-0.05522082970310327,False,-1.0
2023-11-04,Championship,Plymouth,Middlesbrough,casa,0.3375434930580746,3.8,4.06,0.2826652736206834,-0.09259066237876734,False,-1.0
2023-11-04,Championship,Rotherham,QPR,casa,0.4139550266174769,2.77,3.15,0.14665542373041096,-0.1443687508332222,False,-1.0
2023-11-04,Championship,Stoke,Cardiff,fora,0.2921999707949215,3.61,3.84,0.05484189456966648,-0.08515065916687503,False,-1.0
2023-11-04,Championship,Swansea,Sunderland,casa,0.3785395460724788,2.8,3.03,0.05991072900294059,-0.10043856169894505,False,-1.0
2023-11-05,Championship,Norwich,Blackburn,casa,0.4843642399853294,2.17,2.24,0.051070400768164825,-0.05648081205355848,False,-1.0
2023-11-07,Championship,Rotherham,Ipswich,casa,0.2192048572188926,6.51,5.66,0.4270236204949909,0.11383736954148738,False,-1.0
2023-11-10,Championship,Blackburn,Preston,fora,0.266563266759892,4.02,3.71,0.0715843323747658,0.05470251297925732,True,3.0199999999999996
2023-11-11,Championship,Middlesbrough,Leicester,fora,0.6246857828153156,2.38,2.56,0.486752163100451,-0.09552820077465918,False,-1.0
2023-11-11,Championship,Southampton,West Brom,fora,0.4106982169206101,4.31,3.95,0.7701093149278293,0.06075224163940529,False,-1.0
2023-11-11,Championship,Sheffield Weds,Millwall,fora,0.4519011375232467,2.97,3.18,0.3421463784440426,-0.0915012848695006,True,1.9700000000000002
2023-11-11,Championship,Watford,Rotherham,fora,0.1974945544053641,7.55,7.78,0.4910838857604989,-0.06150198260790074,False,-1.0
2023-11-11,Championship,Leeds,Plymouth,fora,0.1645959279924502,10.06,11.16,0.6558350356040492,-0.13267292490118587,False,-1.0
2023-11-11,Championship,Hull,Huddersfield,fora,0.2903506992486949,5.06,5.29,0.46917453819839605,-0.07219000406854781,False,-1.0
2023-11-11,Championship,Coventry,Stoke,casa,0.4708605607801782,2.32,2.23,0.0923965010100134,0.012729138291773578,False,-1.0
2023-11-11,Championship,Cardiff,Norwich,fora,0.3833631046937428,3.66,3.89,0.4031089631790987,-0.08481708742600991,True,2.66
2023-11-11,Championship,Ipswich,Swansea,fora,0.2283268275358998,5.46,5.78,0.24666447834601302,-0.08247905948777023,False,-1.0
2023-11-24,Championship,Rotherham,Leeds,casa,0.1718679749750336,9.25,10.07,0.5897787685190607,-0.11206423304111068,False,-1.0
2023-11-25,Championship,West Brom,Ipswich,casa,0.403680114944544,2.72,2.49,0.09800991264915959,0.057140686919526784,True,1.7200000000000002
2023-11-25,Championship,Swansea,Hull,casa,0.4764906782346468,2.63,3.01,0.25317048375712115,-0.14939188441415208,False,-1.0
2023-11-25,Championship,Preston,Cardiff,fora,0.3313658678164814,3.2,3.32,0.06037077701274063,-0.06278992208107192,True,2.2
2023-11-25,Championship,Plymouth,Sunderland,casa,0.3643887012288735,3.45,3.8,0.25714101923961374,-0.11912108685539713,True,2.45
2023-11-25,Championship,Millwall,Coventry,casa,0.4127739579385284,2.76,2.7,0.13925612391033826,-0.004943586182954318,False,-1.0
2023-11-25,Championship,Huddersfield,Southampton,casa,0.3291117263537579,4.96,4.81,0.6323941627146392,0.004947640006070841,False,-1.0
2023-11-25,Championship,Bristol City,Middlesbrough,casa,0.3328169010726241,3.59,3.49,0.19481267485072062,0.0002125243820780831,True,2.59
2023-11-25,Championship,Birmingham,Sheffield Weds,casa,0.5141643496998733,2.19,2.29,0.1260199258427226,-0.07054389696149432,True,1.19
2023-11-28,Championship,Middlesbrough,Preston,fora,0.2206930109786578,5.42,5.4,0.1961561195043251,-0.02599364113155256,False,-1.0
2023-11-28,Championship,Coventry,Plymouth,fora,0.3114207372045575,5.07,5.18,0.5789031376271065,-0.04906397439281607,False,-1.0
2023-11-28,Championship,Hull,Rotherham,fora,0.2274653798419153,8.0,7.63,0.8197230387353225,0.018983540967804746,False,-1.0
2023-11-29,Championship,Leeds,Swansea,fora,0.1860261650946437,8.43,10.06,0.5682005717478464,-0.19332752326766867,False,-1.0
2023-11-29,Championship,Sheffield Weds,Leicester,fora,0.7365496240134579,1.61,1.63,0.18584489466166731,-0.04278989829348312,False,-1.0
2023-11-29,Championship,Southampton,Bristol City,fora,0.251845320768806,5.8,5.37,0.4607028604590748,0.04724561616566958,False,-1.0
2023-11-29,Championship,Sunderland,Huddersfield,fora,0.1787924982636754,6.29,6.6,0.12460481407851831,-0.07707922498793351,True,5.29
2023-11-29,Championship,Ipswich,Millwall,fora,0.2384808991753571,5.84,5.82,0.3927284511840854,-0.025202581396477353,False,-1.0
2023-12-01,Championship,Preston,QPR,casa,0.4925104188226702,2.25,2.2,0.10814844235100796,-0.005317994356414224,False,-1.0
2023-12-02,Championship,Southampton,Cardiff,fora,0.2698140031397735,5.28,5.41,0.42461793657800406,-0.053639404534665314,False,-1.0
2023-12-02,Championship,Sheffield Weds,Blackburn,fora,0.4965588612125146,2.42,2.7,0.2016724441342852,-0.12829953954277407,False,-1.0
2023-12-02,Championship,Plymouth,Stoke,casa,0.4477550726194683,2.73,2.79,0.22237134825114846,-0.04778597968036613,True,1.73
2023-12-02,Championship,Millwall,Sunderland,casa,0.3533171585504184,3.09,3.23,0.09175001992079279,-0.06974844373983313,False,-1.0
2023-12-02,Championship,West Brom,Leicester,fora,0.5343141401862982,2.59,2.39,0.38387362308251216,0.054308241291418646,True,1.5899999999999999
2023-12-02,Championship,Hull,Watford,fora,0.377832787738112,3.5,4.03,0.3224147570833922,-0.15552157673693334,True,2.5
2023-12-02,Championship,Birmingham,Rotherham,fora,0.2715686961559365,5.49,5.84,0.49091214189609134,-0.08296237904735637,False,-1.0
2023-12-03,Championship,Bristol City,Norwich,fora,0.3724121959136455,3.19,3.24,0.18799490496452909,-0.042319327918849736,True,2.19
2023-12-08,Championship,Coventry,Birmingham,fora,0.2240044336463093,5.01,4.8,0.12226221256800951,0.013583815028901824,False,-1.0
2023-12-09,Championship,Blackburn,Leeds,casa,0.2717113128263368,4.33,4.81,0.17650998453803846,-0.12768122583495456,False,-1.0
2023-12-09,Championship,Watford,Southampton,casa,0.4633410334142809,3.22,2.99,0.4919581275939846,0.04860966185027604,False,-1.0
2023-12-09,Championship,QPR,Hull,casa,0.3392502500314825,3.21,3.2,0.08899330260105875,-0.02304347826086972,True,2.21
2023-12-09,Championship,Stoke,Sheffield Weds,casa,0.5851325930614464,2.04,2.19,0.19367048984535074,-0.09330716020337093,False,-1.0
2023-12-09,Championship,Huddersfield,Bristol City,casa,0.3799424445325178,3.24,2.98,0.23101352028535782,0.05816852472418366,False,-1.0
2023-12-09,Championship,Cardiff,Millwall,fora,0.3313945051441921,3.85,3.78,0.2758688448051396,-0.009914794732765353,False,-1.0
2023-12-09,Championship,Middlesbrough,Ipswich,fora,0.3645093656989303,2.91,3.11,0.060722254183887214,-0.089588937381473,True,1.9100000000000001
