Date,liga,HomeTeam,AwayTeam,selecao,prob_modelo,odd_prejogo,odd_fechamento,ev,clv,ganhou,retorno_papel
2023-08-28,La Liga,Getafe,Alaves,casa,0.5178346219587099,2.36,2.62,0.22208970782255522,-0.11899081401181388,True,1.3599999999999999
2023-08-28,La Liga,Vallecano,Ath Madrid,fora,0.5526478230503907,2.0,2.08,0.10529564610078146,-0.06057632259791246,True,1.0
2023-09-01,La Liga,Cadiz,Villarreal,fora,0.508090434063265,2.21,2.25,0.1228798592798157,-0.04031022434118148,False,-1.0
2023-09-01,La Liga,Almeria,Celta,casa,0.4345253242191716,3.04,2.95,0.3209569856262817,0.007893424174219676,False,-1.0
2023-09-02,La Liga,Betis,Vallecano,casa,0.5696594525145963,1.98,2.09,0.12792571597890068,-0.07363831955610922,True,0.98
2023-09-02,La Liga,Alaves,Valencia,fora,0.4157316709759903,2.82,2.59,0.1723633121522925,0.06539512607409459,False,-1.0
2023-09-02,La Liga,Real Madrid,Getafe,fora,0.0997868744968733,10.76,10.26,0.07370676958635669,0.017141660635614286,False,-1.0
2023-09-02,La Liga,Sociedad,Granada,fora,0.1571262380899868,7.49,7.92,0.17687552329400114,-0.07897551268586589,False,-1.0
2023-09-03,La Liga,Girona,Las Palmas,casa,0.7655136610248369,1.69,1.74,0.2937180871319742,-0.05391968443052364,True,0.69
2023-09-03,La Liga,Mallorca,Ath Bilbao,casa,0.3301564631375054,3.3,3.24,0.08951632835376788,-0.001448458203485381,False,-1.0
2023-09-15,La Liga,Vallecano,Alaves,casa,0.5196753904144765,2.03,2.04,0.05494104254138721,-0.027050043372917276,True,1.0299999999999998
2023-09-16,La Liga,Ath Bilbao,Cadiz,fora,0.1762482013815715,6.66,6.42,0.17381302120126607,0.010840713269780089,False,-1.0
2023-09-16,La Liga,Valencia,Ath Madrid,fora,0.527203053704487,2.08,2.33,0.0965823517053328,-0.12739201523578936,False,-1.0
2023-09-16,La Liga,Barcelona,Betis,empate,0.2037519318263821,5.4,6.05,0.10026043186246336,-0.132421852839394,False,-1.0
2023-09-17,La Liga,Sevilla,Las Palmas,empate,0.2942486275995151,3.93,4.15,0.15639710646609428,-0.07720790216368767,False,-1.0
2023-09-18,La Liga,Granada,Girona,fora,0.4556853128825585,2.65,2.43,0.2075660791387799,0.06593516116388876,True,1.65
2023-09-22,La Liga,Alaves,Ath Bilbao,casa,0.2656768052190757,4.27,4.25,0.1344399582854532,-0.015802554128945823,False,-1.0
2023-09-23,La Liga,Girona,Mallorca,casa,0.606907372223183,1.94,1.91,0.17740030211297508,-0.006736857696532761,True,0.94
2023-09-23,La Liga,Osasuna,Sevilla,fora,0.3555383999356581,2.99,3.28,0.06305981580761788,-0.10776130400132311,False,-1.0
2023-09-23,La Liga,Almeria,Valencia,casa,0.3891399501854074,3.11,2.72,0.2102252450766171,0.11930488602320577,False,-1.0
2023-09-24,La Liga,Sociedad,Getafe,fora,0.178877011747061,7.76,6.71,0.3880856111571933,0.1278668407893011,False,-1.0
2023-09-24,La Liga,Vallecano,Villarreal,fora,0.4709348817222027,2.83,2.78,0.3327457152738338,-0.0037195808369659966,False,-1.0
2023-09-24,La Liga,Betis,Cadiz,casa,0.5750100725225608,1.86,1.81,0.06951873489196303,0.004570530451866617,False,-1.0
2023-09-24,La Liga,Las Palmas,Granada,fora,0.4097189290871176,3.87,4.1,0.5856122555671452,-0.07895734829769474,False,-1.0
2023-09-24,La Liga,Ath Madrid,Real Madrid,casa,0.4323385022233785,2.88,2.87,0.24513488640333003,-0.01777931774999908,True,1.88
2023-09-27,La Liga,Valencia,Sociedad,fora,0.3724639735214399,2.94,3.31,0.09504408215303317,-0.13119649105439724,True,1.94
2023-09-27,La Liga,Villarreal,Girona,casa,0.5339779277857118,2.22,2.17,0.18543099968428045,0.0009756097560977839,False,-1.0
2023-09-27,La Liga,Real Madrid,Las Palmas,empate,0.187704731555608,7.24,8.0,0.35898225646260196,-0.12396494935056868,False,-1.0
2023-09-27,La Liga,Ath Bilbao,Getafe,fora,0.206656364288235,6.51,7.73,0.34533293151640976,-0.1817731195305783,False,-1.0
2023-09-28,La Liga,Celta,Alaves,fora,0.1905601947803322,5.97,6.84,0.13764436283858328,-0.14910872070687686,False,-1.0
2023-09-28,La Liga,Osasuna,Ath Madrid,fora,0.5416569037718247,2.14,2.01,0.15914577407170505,0.04135194651202201,True,1.1400000000000001
2023-09-30,La Liga,Getafe,Villarreal,fora,0.4168440003285249,2.59,2.86,0.07962596085087958,-0.11782266216699588,False,-1.0
2023-09-30,La Liga,Vallecano,Mallorca,fora,0.2696631676808472,4.04,4.46,0.08943919743062256,-0.11503310030717084,False,-1.0
2023-09-30,La Liga,Sociedad,Ath Bilbao,casa,0.4666732996559553,2.26,2.32,0.05468165722245888,-0.04751199190271538,True,1.2599999999999998
2023-10-01,La Liga,Betis,Valencia,casa,0.5088187306239904,2.31,2.07,0.17537126774141787,0.08992372739135357,True,1.31
2023-10-01,La Liga,Almeria,Granada,fora,0.3001407431523558,3.96,3.99,0.18855734288332893,-0.030565726275594063,False,-1.0
2023-10-01,La Liga,Alaves,Osasuna,fora,0.3688540223362446,2.89,3.32,0.06598812455174685,-0.14527159980338022,True,1.8900000000000001
2023-10-02,La Liga,Las Palmas,Celta,fora,0.4207158374523568,2.99,2.72,0.2579403539825469,0.07518330700165676,False,-1.0
2023-10-06,La Liga,Ath Bilbao,Almeria,fora,0.1845261178720443,8.23,9.41,0.5186499500869246,-0.1594606372944377,False,-1.0
2023-10-07,La Liga,Real Madrid,Osasuna,empate,0.1814746537590253,5.95,6.43,0.07977418986620055,-0.09975287235905406,False,-1.0
2023-10-07,La Liga,Mallorca,Valencia,fora,0.3429771895567121,3.26,3.35,0.11810563795488127,-0.04683061870721872,False,-1.0
2023-10-07,La Liga,Sevilla,Vallecano,casa,0.5651242625058613,1.91,1.83,0.07938734138619519,0.017907719384191223,False,-1.0
