Date,liga,HomeTeam,AwayTeam,total_real,data_corte_modelo,prob_over_9.5,over_real_9.5,prob_over_10.5,over_real_10.5
2023-08-26,La Liga,Granada,Mallorca,8.0,2023-08-11,0.3499727948582743,0.0,0.25410062107289955,0.0
2023-08-26,La Liga,Sevilla,Girona,12.0,2023-08-11,0.35748430693157096,1.0,0.26150465088025043,1.0
2023-08-27,La Liga,Villarreal,Barcelona,8.0,2023-08-11,0.45484070134614984,0.0,0.35064758532897256,0.0
2023-08-27,La Liga,Valencia,Osasuna,9.0,2023-08-11,0.5036344257840287,0.0,0.39864681414957764,0.0
2023-08-27,La Liga,Ath Bilbao,Betis,8.0,2023-08-11,0.6239677735542549,0.0,0.5238246378537682,0.0
2023-08-28,La Liga,Getafe,Alaves,9.0,2023-08-11,0.2812871389300339,0.0,0.19524469689287582,0.0
2023-08-28,La Liga,Vallecano,Ath Madrid,11.0,2023-08-11,0.5106383012250518,1.0,0.4048693570419114,1.0
2023-09-01,La Liga,Cadiz,Villarreal,10.0,2023-08-11,0.4975708364722353,1.0,0.3917911926251376,0.0
2023-09-01,La Liga,Almeria,Celta,11.0,2023-08-11,0.40928275910974404,1.0,0.3076982326095687,1.0
2023-09-02,La Liga,Betis,Vallecano,5.0,2023-08-11,0.5217327618738441,0.0,0.41575223666561717,0.0
2023-09-02,La Liga,Alaves,Valencia,3.0,2023-08-11,0.49550950844157376,0.0,0.3899341954662239,0.0
2023-09-02,La Liga,Real Madrid,Getafe,12.0,2023-08-11,0.38346932805311135,1.0,0.28601691928574097,1.0
2023-09-02,La Liga,Sociedad,Granada,7.0,2023-08-11,0.38462167000987246,0.0,0.2859912216669924,0.0
2023-09-03,La Liga,Girona,Las Palmas,8.0,2023-08-11,0.39257383029867077,0.0,0.29221420946061577,0.0
2023-09-03,La Liga,Mallorca,Ath Bilbao,8.0,2023-08-11,0.43817319167864943,0.0,0.3349811268083201,0.0
2023-09-03,La Liga,Osasuna,Barcelona,13.0,2023-08-11,0.366886828440903,1.0,0.2696788564068303,1.0
2023-09-15,La Liga,Vallecano,Alaves,8.0,2023-09-15,0.4849627452381142,0.0,0.37928719124282867,0.0
2023-09-16,La Liga,Ath Bilbao,Cadiz,9.0,2023-09-15,0.5616504326186403,0.0,0.45680748023405815,0.0
2023-09-16,La Liga,Valencia,Ath Madrid,13.0,2023-09-15,0.5148380557092551,1.0,0.4076709325510014,1.0
2023-09-16,La Liga,Celta,Mallorca,11.0,2023-09-15,0.36310190446789925,1.0,0.26507912951556334,1.0
2023-09-16,La Liga,Barcelona,Betis,14.0,2023-09-15,0.5458882091434564,1.0,0.441689338331963,1.0
2023-09-17,La Liga,Sevilla,Las Palmas,10.0,2023-09-15,0.524198109747468,1.0,0.41785342451075985,0.0
2023-09-17,La Liga,Real Madrid,Sociedad,7.0,2023-09-15,0.4417723993701962,0.0,0.337567676456795,0.0
2023-09-17,La Liga,Getafe,Osasuna,9.0,2023-09-15,0.25659306727816117,0.0,0.17360576730043198,0.0
2023-09-17,La Liga,Villarreal,Almeria,13.0,2023-09-15,0.6083644611751284,1.0,0.5047684529766043,1.0
2023-09-18,La Liga,Granada,Girona,9.0,2023-09-15,0.32174631634049705,0.0,0.22845951199960213,0.0
2023-09-22,La Liga,Alaves,Ath Bilbao,7.0,2023-09-15,0.4702477374363488,0.0,0.36446871212238907,0.0
2023-09-23,La Liga,Girona,Mallorca,11.0,2023-09-15,0.28456309276087594,1.0,0.19674228128570462,1.0
2023-09-23,La Liga,Osasuna,Sevilla,11.0,2023-09-15,0.3753007026867095,1.0,0.27533426802689487,1.0
2023-09-23,La Liga,Barcelona,Celta,5.0,2023-09-15,0.4264632141375286,0.0,0.3240120527337979,0.0
2023-09-23,La Liga,Almeria,Valencia,11.0,2023-09-15,0.5275863612324591,1.0,0.4202839541808554,1.0
2023-09-24,La Liga,Sociedad,Getafe,3.0,2023-09-15,0.27141801438896695,0.0,0.1865914605414306,0.0
2023-09-24,La Liga,Vallecano,Villarreal,10.0,2023-09-15,0.573393574377198,1.0,0.467089480443776,0.0
2023-09-24,La Liga,Betis,Cadiz,19.0,2023-09-15,0.4533653301598839,1.0,0.34777167756818017,1.0
2023-09-24,La Liga,Las Palmas,Granada,13.0,2023-09-15,0.4821616355954076,1.0,0.37543885976227764,1.0
2023-09-24,La Liga,Ath Madrid,Real Madrid,17.0,2023-09-15,0.4790295583312721,1.0,0.37229156283128284,1.0
2023-09-26,La Liga,Sevilla,Almeria,13.0,2023-09-15,0.5025774411651985,1.0,0.3968784801965527,1.0
2023-09-26,La Liga,Mallorca,Barcelona,9.0,2023-09-15,0.34444288489081587,0.0,0.24861366187551107,0.0
2023-09-27,La Liga,Valencia,Sociedad,2.0,2023-09-15,0.43496179842878807,0.0,0.3303804443059918,0.0
2023-09-27,La Liga,Cadiz,Vallecano,3.0,2023-09-15,0.46245132262212946,0.0,0.35629375474070474,0.0
2023-09-27,La Liga,Villarreal,Girona,11.0,2023-09-15,0.45656260269472704,1.0,0.35149233025708576,1.0
2023-09-27,La Liga,Real Madrid,Las Palmas,9.0,2023-09-15,0.6375620168644774,0.0,0.5369608842894112,0.0
2023-09-27,La Liga,Ath Bilbao,Getafe,9.0,2023-09-15,0.4232499866483038,0.0,0.32148332983006694,0.0
2023-09-28,La Liga,Celta,Alaves,10.0,2023-09-15,0.40728163983422416,1.0,0.3055715780545443,0.0
2023-09-28,La Liga,Granada,Betis,12.0,2023-09-15,0.43912464716424676,1.0,0.3344466616444117,1.0
2023-09-28,La Liga,Osasuna,Ath Madrid,9.0,2023-09-15,0.42703410608431425,0.0,0.3227761908935915,0.0
2023-09-29,La Liga,Barcelona,Sevilla,16.0,2023-09-15,0.4136306872553283,1.0,0.3118196382122431,1.0
2023-09-30,La Liga,Getafe,Villarreal,10.0,2023-09-15,0.34914968255761614,1.0,0.25205606527145313,0.0
2023-09-30,La Liga,Vallecano,Mallorca,5.0,2023-09-15,0.4385669841831271,0.0,0.33435290056323613,0.0
2023-09-30,La Liga,Girona,Real Madrid,5.0,2023-09-15,0.38340389963785626,0.0,0.2830635966033837,0.0
2023-09-30,La Liga,Sociedad,Ath Bilbao,12.0,2023-09-15,0.4287752402712764,1.0,0.324400471669416,1.0
2023-10-01,La Liga,Ath Madrid,Cadiz,8.0,2023-09-15,0.472993790329212,0.0,0.3672926363510907,0.0
2023-10-01,La Liga,Betis,Valencia,8.0,2023-09-15,0.5156111182553971,0.0,0.4082113543294813,0.0
2023-10-01,La Liga,Almeria,Granada,6.0,2023-09-15,0.43327187282862906,0.0,0.32862172257649075,0.0
2023-10-01,La Liga,Alaves,Osasuna,6.0,2023-09-15,0.3653974554573771,0.0,0.26647275986314634,0.0
2023-10-02,La Liga,Las Palmas,Celta,9.0,2023-09-15,0.4806854397590859,0.0,0.37388167014688395,0.0
2023-10-06,La Liga,Ath Bilbao,Almeria,8.0,2023-09-15,0.6483282068687759,0.0,0.5491609747542037,0.0
2023-10-07,La Liga,Cadiz,Girona,10.0,2023-09-15,0.3388125336807186,1.0,0.24323280922567347,0.0
2023-10-07,La Liga,Real Madrid,Osasuna,9.0,2023-09-15,0.5156167669399185,0.0,0.4101115075353729,0.0
2023-10-07,La Liga,Mallorca,Valencia,9.0,2023-09-15,0.41475824898339,0.0,0.3113494175426669,0.0
2023-10-07,La Liga,Sevilla,Vallecano,14.0,2023-09-15,0.45605195427809914,1.0,0.3504840952143174,1.0
2023-10-08,La Liga,Villarreal,Las Palmas,9.0,2023-09-15,0.6322295033575481,0.0,0.5297936093932984,0.0
2023-10-08,La Liga,Ath Madrid,Sociedad,5.0,2023-09-15,0.4015484644966124,0.0,0.2993367962045465,0.0
2023-10-08,La Liga,Alaves,Betis,8.0,2023-09-15,0.42004162364597536,0.0,0.31632379792537824,0.0
2023-10-08,La Liga,Celta,Getafe,14.0,2023-09-15,0.28355545603267845,1.0,0.19652022963426818,1.0
