Date,liga,HomeTeam,AwayTeam,total_real,data_corte_modelo,prob_over_3.5,over_real_3.5
2023-09-17,La Liga,Sevilla,Las Palmas,8.0,2023-09-15,0.6301210618104305,1.0
2023-09-17,La Liga,Real Madrid,Sociedad,5.0,2023-09-15,0.5852369069652543,1.0
2023-09-17,La Liga,Getafe,Osasuna,8.0,2023-09-15,0.7485208402770669,1.0
2023-09-17,La Liga,Villarreal,Almeria,5.0,2023-09-15,0.6554596284518354,1.0
2023-09-18,La Liga,Granada,Girona,6.0,2023-09-15,0.7802372575103054,1.0
2023-09-22,La Liga,Alaves,Ath Bilbao,4.0,2023-09-15,0.6455761252715417,1.0
2023-09-23,La Liga,Girona,Mallorca,6.0,2023-09-15,0.7977232120517516,1.0
2023-09-23,La Liga,Osasuna,Sevilla,5.0,2023-09-15,0.6453057559220441,1.0
2023-09-23,La Liga,Barcelona,Celta,3.0,2023-09-15,0.6942705171185123,0.0
2023-09-23,La Liga,Almeria,Valencia,6.0,2023-09-15,0.7658830132443326,1.0
2023-09-24,La Liga,Sociedad,Getafe,5.0,2023-09-15,0.8359472279835203,1.0
2023-09-24,La Liga,Vallecano,Villarreal,5.0,2023-09-15,0.7054951039159053,1.0
2023-09-24,La Liga,Betis,Cadiz,5.0,2023-09-15,0.7695525268722063,1.0
2023-09-24,La Liga,Las Palmas,Granada,10.0,2023-09-15,0.6713844430943231,1.0
2023-09-24,La Liga,Ath Madrid,Real Madrid,4.0,2023-09-15,0.602891527356553,1.0
2023-09-26,La Liga,Sevilla,Almeria,5.0,2023-09-15,0.6957995026434278,1.0
2023-09-26,La Liga,Mallorca,Barcelona,5.0,2023-09-15,0.7617398332475941,1.0
2023-09-27,La Liga,Valencia,Sociedad,11.0,2023-09-15,0.7920762346944427,1.0
2023-09-27,La Liga,Cadiz,Vallecano,11.0,2023-09-15,0.7950517616824422,1.0
2023-09-27,La Liga,Villarreal,Girona,5.0,2023-09-15,0.7070221203139827,1.0
2023-09-27,La Liga,Real Madrid,Las Palmas,1.0,2023-09-15,0.47595750566662004,0.0
2023-09-27,La Liga,Ath Bilbao,Getafe,11.0,2023-09-15,0.8352823702704456,1.0
2023-09-28,La Liga,Celta,Alaves,8.0,2023-09-15,0.698178649684674,1.0
2023-09-28,La Liga,Granada,Betis,3.0,2023-09-15,0.7519601715255563,0.0
2023-09-28,La Liga,Osasuna,Ath Madrid,6.0,2023-09-15,0.5977603958861241,1.0
2023-09-29,La Liga,Barcelona,Sevilla,5.0,2023-09-15,0.7139782418732408,1.0
2023-09-30,La Liga,Getafe,Villarreal,6.0,2023-09-15,0.8365752383565557,1.0
2023-09-30,La Liga,Vallecano,Mallorca,7.0,2023-09-15,0.79933331842821,1.0
2023-09-30,La Liga,Girona,Real Madrid,4.0,2023-09-15,0.6082661679372154,1.0
2023-09-30,La Liga,Sociedad,Ath Bilbao,4.0,2023-09-15,0.6780664696568096,1.0
2023-10-01,La Liga,Ath Madrid,Cadiz,4.0,2023-09-15,0.789330718850878,1.0
2023-10-01,La Liga,Betis,Valencia,4.0,2023-09-15,0.7833533011842029,1.0
2023-10-01,La Liga,Almeria,Granada,3.0,2023-09-15,0.731140041630872,0.0
2023-10-01,La Liga,Alaves,Osasuna,5.0,2023-09-15,0.5499838855472626,1.0
2023-10-02,La Liga,Las Palmas,Celta,3.0,2023-09-15,0.6098381862158786,0.0
2023-10-06,La Liga,Ath Bilbao,Almeria,2.0,2023-09-15,0.6452201916933009,0.0
2023-10-07,La Liga,Cadiz,Girona,4.0,2023-09-15,0.7933645307144036,1.0
2023-10-07,La Liga,Real Madrid,Osasuna,4.0,2023-09-15,0.5132116191828432,1.0
2023-10-07,La Liga,Mallorca,Valencia,3.0,2023-09-15,0.8806138009829115,0.0
2023-10-07,La Liga,Sevilla,Vallecano,7.0,2023-09-15,0.7483699430554864,1.0
2023-10-08,La Liga,Villarreal,Las Palmas,8.0,2023-09-15,0.5765083976973865,1.0
2023-10-08,La Liga,Ath Madrid,Sociedad,6.0,2023-09-15,0.6829162153546102,1.0
2023-10-08,La Liga,Alaves,Betis,6.0,2023-09-15,0.6276832908603238,1.0
2023-10-08,La Liga,Celta,Getafe,9.0,2023-09-15,0.8699572099699779,1.0
2023-10-08,La Liga,Granada,Barcelona,5.0,2023-09-15,0.7439959817190009,1.0
2023-10-20,La Liga,Osasuna,Granada,7.0,2023-10-20,0.7024526007956275,1.0
2023-10-21,La Liga,Celta,Ath Madrid,5.0,2023-10-20,0.7349899410880517,1.0
2023-10-21,La Liga,Sevilla,Real Madrid,7.0,2023-10-20,0.6532147328635096,1.0
2023-10-21,La Liga,Sociedad,Mallorca,6.0,2023-10-20,0.7852009919150185,1.0
2023-10-21,La Liga,Getafe,Betis,7.0,2023-10-20,0.8204097761874476,1.0
2023-10-22,La Liga,Las Palmas,Vallecano,7.0,2023-10-20,0.7566009938993931,1.0
2023-10-22,La Liga,Girona,Almeria,3.0,2023-10-20,0.6318283782291715,0.0
2023-10-22,La Liga,Villarreal,Alaves,7.0,2023-10-20,0.692742233219625,1.0
2023-10-22,La Liga,Barcelona,Ath Bilbao,6.0,2023-10-20,0.6464516093323863,1.0
2023-10-23,La Liga,Valencia,Cadiz,3.0,2023-10-20,0.885095958985646,0.0
2023-10-27,La Liga,Girona,Celta,5.0,2023-10-20,0.7230014145617385,1.0
2023-10-28,La Liga,Almeria,Las Palmas,4.0,2023-10-20,0.6597397561719821,1.0
2023-10-28,La Liga,Barcelona,Real Madrid,3.0,2023-10-20,0.5408127008079786,0.0
2023-10-28,La Liga,Mallorca,Getafe,1.0,2023-10-20,0.9004319395151098,0.0
2023-10-28,La Liga,Cadiz,Sevilla,10.0,2023-10-20,0.8369532916597663,1.0
2023-10-29,La Liga,Ath Bilbao,Valencia,4.0,2023-10-20,0.797620790310404,1.0
2023-10-29,La Liga,Ath Madrid,Alaves,5.0,2023-10-20,0.6822592255317852,1.0
2023-10-29,La Liga,Vallecano,Sociedad,5.0,2023-10-20,0.730483188557404,1.0
2023-10-29,La Liga,Betis,Osasuna,7.0,2023-10-20,0.5807803202625192,1.0
2023-10-30,La Liga,Granada,Villarreal,4.0,2023-10-20,0.7845282863419295,1.0
2023-11-03,La Liga,Las Palmas,Ath Madrid,3.0,2023-10-20,0.7248137851535131,0.0
2023-11-04,La Liga,Osasuna,Girona,8.0,2023-10-20,0.6145758479000704,1.0
2023-11-04,La Liga,Betis,Mallorca,5.0,2023-10-20,0.7501153805034516,1.0
2023-11-04,La Liga,Celta,Sevilla,7.0,2023-10-20,0.7887775831827292,1.0
2023-11-04,La Liga,Sociedad,Barcelona,6.0,2023-10-20,0.6495350768763659,1.0
2023-11-05,La Liga,Alaves,Almeria,5.0,2023-10-20,0.6112499452790306,1.0
2023-11-05,La Liga,Valencia,Granada,8.0,2023-10-20,0.8721610469118776,1.0
2023-11-05,La Liga,Villarreal,Ath Bilbao,8.0,2023-10-20,0.7014734825642651,1.0
2023-11-05,La Liga,Real Madrid,Vallecano,8.0,2023-10-20,0.6337964406963977,1.0
2023-11-06,La Liga,Getafe,Cadiz,8.0,2023-10-20,0.9087716513082217,1.0
2023-11-10,La Liga,Ath Bilbao,Celta,4.0,2023-10-20,0.7182062389280097,1.0
2023-11-11,La Liga,Real Madrid,Valencia,4.0,2023-10-20,0.7062464529942711,1.0
2023-11-11,La Liga,Osasuna,Las Palmas,2.0,2023-10-20,0.6445406874837181,0.0
2023-11-11,La Liga,Almeria,Sociedad,4.0,2023-10-20,0.6303197948413258,1.0
2023-11-11,La Liga,Vallecano,Girona,3.0,2023-10-20,0.73161300897806,0.0
2023-11-11,La Liga,Granada,Getafe,6.0,2023-10-20,0.9051584636204413,1.0
2023-11-12,La Liga,Barcelona,Alaves,3.0,2023-10-20,0.6383271979255043,0.0
2023-11-12,La Liga,Sevilla,Betis,2.0,2023-10-20,0.7163129840780622,0.0
2023-11-12,La Liga,Ath Madrid,Villarreal,2.0,2023-10-20,0.7092458173855245,0.0
2023-11-24,La Liga,Alaves,Granada,4.0,2023-11-24,0.772534140290228,1.0
2023-11-25,La Liga,Vallecano,Barcelona,7.0,2023-11-24,0.6994218240936134,1.0
2023-11-25,La Liga,Valencia,Celta,5.0,2023-11-24,0.8173062801052036,1.0
2023-11-25,La Liga,Getafe,Almeria,6.0,2023-11-24,0.7775726466000105,1.0
2023-11-25,La Liga,Ath Madrid,Mallorca,0.0,2023-11-24,0.7567124856651865,0.0
2023-11-26,La Liga,Cadiz,Real Madrid,6.0,2023-11-24,0.7124966092390912,1.0
2023-11-26,La Liga,Villarreal,Osasuna,0.0,2023-11-24,0.652300638447235,0.0
2023-11-26,La Liga,Sociedad,Sevilla,3.0,2023-11-24,0.7723215901666356,0.0
2023-11-26,La Liga,Betis,Las Palmas,3.0,2023-11-24,0.6518387294851242,0.0
2023-11-27,La Liga,Girona,Ath Bilbao,2.0,2023-11-24,0.695888941727324,0.0
2023-11-29,La Liga,Mallorca,Cadiz,5.0,2023-11-24,0.8475662856400272,1.0
2023-12-01,La Liga,Las Palmas,Getafe,5.0,2023-11-24,0.8408760112613637,1.0
2023-12-02,La Liga,Girona,Valencia,5.0,2023-11-24,0.7939771864602828,1.0
2023-12-02,La Liga,Ath Bilbao,Vallecano,3.0,2023-11-24,0.7418034027614266,0.0
2023-12-02,La Liga,Real Madrid,Granada,3.0,2023-11-24,0.7056521201824784,0.0
2023-12-02,La Liga,Osasuna,Sociedad,6.0,2023-11-24,0.6399898046530985,1.0
2023-12-03,La Liga,Mallorca,Alaves,6.0,2023-11-24,0.7512779805738015,1.0
2023-12-03,La Liga,Almeria,Betis,3.0,2023-11-24,0.5863597347375498,0.0
2023-12-03,La Liga,Sevilla,Villarreal,5.0,2023-11-24,0.7743278829324293,1.0
2023-12-03,La Liga,Barcelona,Ath Madrid,9.0,2023-11-24,0.6443341803872307,1.0
2023-12-04,La Liga,Celta,Cadiz,7.0,2023-11-24,0.8266258030435357,1.0
2023-12-08,La Liga,Getafe,Valencia,6.0,2023-11-24,0.9142833250893627,1.0
2023-12-09,La Liga,Mallorca,Sevilla,4.0,2023-11-24,0.8199493092926754,1.0
2023-12-09,La Liga,Villarreal,Sociedad,3.0,2023-11-24,0.7128333823038289,0.0
2023-12-09,La Liga,Alaves,Las Palmas,7.0,2023-11-24,0.6753816593259218,1.0
2023-12-09,La Liga,Betis,Real Madrid,3.0,2023-11-24,0.5628312250971718,0.0
2023-12-10,La Liga,Ath Madrid,Almeria,1.0,2023-11-24,0.6139649790346857,0.0
2023-12-10,La Liga,Cadiz,Osasuna,3.0,2023-11-24,0.7408426930071351,0.0
2023-12-10,La Liga,Barcelona,Girona,3.0,2023-11-24,0.6533489445254792,0.0
2023-12-11,La Liga,Granada,Ath Bilbao,2.0,2023-11-24,0.7817758380197225,0.0
2023-12-11,La Liga,Vallecano,Celta,3.0,2023-11-24,0.7695037624392006,0.0
2023-12-15,La Liga,Osasuna,Vallecano,5.0,2023-11-24,0.6840275620518537,1.0
2023-12-16,La Liga,Sevilla,Getafe,6.0,2023-11-24,0.8866531276590274,1.0
2023-12-16,La Liga,Celta,Granada,8.0,2023-11-24,0.8142072492622976,1.0
2023-12-16,La Liga,Ath Bilbao,Ath Madrid,1.0,2023-11-24,0.686868381644599,0.0
2023-12-16,La Liga,Valencia,Barcelona,3.0,2023-11-24,0.7584176981217777,0.0
2023-12-17,La Liga,Real Madrid,Villarreal,5.0,2023-11-24,0.6237077416674447,1.0
2023-12-17,La Liga,Las Palmas,Cadiz,4.0,2023-11-24,0.7883209162022218,1.0
2023-12-17,La Liga,Almeria,Mallorca,3.0,2023-11-24,0.6954321751701483,0.0
2023-12-17,La Liga,Sociedad,Betis,7.0,2023-11-24,0.6644063910961115,1.0
2023-12-18,La Liga,Girona,Alaves,1.0,2023-11-24,0.6865423701841419,0.0
2023-12-19,La Liga,Granada,Sevilla,3.0,2023-11-24,0.8401259845327947,0.0
2023-12-19,La Liga,Vallecano,Valencia,6.0,2023-11-24,0.8321327811212799,1.0
2023-12-19,La Liga,Ath Madrid,Getafe,6.0,2023-11-24,0.8362368723594388,1.0
2023-12-20,La Liga,Ath Bilbao,Las Palmas,4.0,2023-11-24,0.6864930530164182,1.0
2023-12-20,La Liga,Villarreal,Celta,6.0,2023-11-24,0.7389332341249942,1.0
2023-12-20,La Liga,Barcelona,Almeria,6.0,2023-11-24,0.5827946740005868,1.0
2023-12-21,La Liga,Cadiz,Sociedad,4.0,2023-11-24,0.7970298594523805,1.0
2023-12-21,La Liga,Alaves,Real Madrid,4.0,2023-11-24,0.5924531429105471,1.0
2023-12-21,La Liga,Betis,Girona,4.0,2023-11-24,0.6619869134547778,1.0
2023-12-21,La Liga,Mallorca,Osasuna,4.0,2023-11-24,0.7051423140170343,1.0
2023-12-23,La Liga,Ath Madrid,Sevilla,10.0,2023-11-24,0.7546947283722975,1.0
2024-01-02,La Liga,Sociedad,Alaves,8.0,2024-01-02,0.6903225976520887,1.0
2024-01-02,La Liga,Valencia,Villarreal,7.0,2024-01-02,0.7999358074780367,1.0
2024-01-02,La Liga,Getafe,Vallecano,9.0,2024-01-02,0.8737719798860757,1.0
2024-01-03,La Liga,Real Madrid,Mallorca,5.0,2024-01-02,0.6761515996881311,1.0
2024-01-03,La Liga,Girona,Ath Madrid,1.0,2024-01-02,0.6551821128501152,0.0
2024-01-03,La Liga,Granada,Cadiz,7.0,2024-01-02,0.8471638635339948,1.0
2024-01-03,La Liga,Celta,Betis,2.0,2024-01-02,0.704491927740364,0.0
2024-01-04,La Liga,Sevilla,Ath Bilbao,4.0,2024-01-02,0.7327896138069685,1.0
2024-01-04,La Liga,Las Palmas,Barcelona,7.0,2024-01-02,0.6493051822952702,1.0
2024-01-04,La Liga,Osasuna,Almeria,3.0,2024-01-02,0.5390634979916465,0.0
2024-01-12,La Liga,Sevilla,Alaves,7.0,2024-01-02,0.7474970994437525,1.0
2024-01-13,La Liga,Las Palmas,Villarreal,7.0,2024-01-02,0.6819486891627027,1.0
2024-01-13,La Liga,Mallorca,Celta,5.0,2024-01-02,0.7842061853781457,1.0
2024-01-13,La Liga,Ath Bilbao,Sociedad,5.0,2024-01-02,0.6698739007048571,1.0
2024-01-13,La Liga,Betis,Granada,7.0,2024-01-02,0.7307829964453018,1.0
