Date,liga,HomeTeam,AwayTeam,FTR,prob_casa_modelo,prob_empate_modelo,prob_fora_modelo,prob_casa_odds,prob_empate_odds,prob_fora_odds,data_corte_modelo
2023-05-25,La Liga,Mallorca,Valencia,H,0.40207147899176127,0.2824849982735419,0.31544352273469684,0.31867567765765703,0.3294054984542111,0.35191882388813206,2023-05-25
2023-05-25,La Liga,Osasuna,Ath Bilbao,H,0.31614533514572946,0.2978313132105077,0.3860233516437627,0.3027955565917826,0.29637262054286595,0.4008318228653515,2023-05-25
2023-05-27,La Liga,Sevilla,Real Madrid,A,0.30160889054558015,0.2470229024703696,0.45136820698405034,0.3036393543744217,0.27310578801274804,0.42325485761283027,2023-05-25
2023-05-28,La Liga,Vallecano,Villarreal,H,0.3133895200686836,0.24813592607890572,0.43847455385241085,0.31580078824793983,0.25102113937656756,0.4331780723754927,2023-05-25
2023-05-28,La Liga,Valencia,Espanol,D,0.5174167750031995,0.23841252319642983,0.2441707018003706,0.45883804041873555,0.2784401783737626,0.2627217812075018,2023-05-25
2023-05-28,La Liga,Girona,Betis,A,0.4631299521669883,0.24247235199610662,0.29439769583690495,0.4889743555620617,0.27015157765859765,0.24087406677934078,2023-05-25
2023-05-28,La Liga,Getafe,Osasuna,H,0.4273613372293756,0.31425168689524996,0.25838697587537457,0.39442981931315063,0.3338518607155677,0.27171831997128154,2023-05-25
2023-05-28,La Liga,Cadiz,Celta,H,0.3574071591453956,0.27620759402971196,0.3663852468248926,0.3736102995374985,0.3252023205276566,0.301187379934845,2023-05-25
2023-05-28,La Liga,Barcelona,Mallorca,H,0.7501779336322848,0.16422638188180705,0.08559568448590818,0.7632943512797882,0.15870476610767875,0.0780008826125331,2023-05-25
2023-05-28,La Liga,Ath Madrid,Sociedad,H,0.5006277076743233,0.25940957433950124,0.23996271798617522,0.4180300206887445,0.31759423649729285,0.2643757428139627,2023-05-25
2023-05-28,La Liga,Ath Bilbao,Elche,A,0.6715886324116911,0.20379205160769848,0.12461931598061048,0.6818264846537503,0.19638815582318975,0.1217853595230598,2023-05-25
2023-05-28,La Liga,Almeria,Valladolid,D,0.5273971090322183,0.22368956457700642,0.2489133263907753,0.42351669919398416,0.2835720507646677,0.2929112500413483,2023-05-25
2023-06-04,La Liga,Valladolid,Getafe,D,0.3482989858326116,0.29898152410429435,0.35271949006309394,0.485845733688122,0.29179923945232555,0.22235502685955238,2023-05-25
2023-06-04,La Liga,Espanol,Almeria,D,0.5252029934472516,0.21793383131087601,0.25686317524187224,0.39979847074862196,0.25671270227016774,0.3434888269812104,2023-05-25
2023-06-04,La Liga,Elche,Cadiz,D,0.41690672221051867,0.26587162324125385,0.3172216545482274,0.3874166458481465,0.3038799315871399,0.3087034225647135,2023-05-25
2023-06-04,La Liga,Celta,Barcelona,H,0.21821117472892518,0.24170848395085617,0.5400803413202186,0.33954678224462576,0.272206498615105,0.3882467191402693,2023-05-25
2023-06-04,La Liga,Betis,Valencia,D,0.5213777144091468,0.24446576533372488,0.23415652025712824,0.3099140994345394,0.3129036245094707,0.3771822760559898,2023-05-25
2023-06-04,La Liga,Mallorca,Vallecano,H,0.42633369427480067,0.2834608602694203,0.2902054454557792,0.30694275274056027,0.30694275274056027,0.3861144945188794,2023-05-25
2023-06-04,La Liga,Sociedad,Sevilla,H,0.5268472305657128,0.25415184938545005,0.2190009200488371,0.6174483618191979,0.22284917886348066,0.15970245931732135,2023-05-25
2023-06-04,La Liga,Real Madrid,Ath Bilbao,D,0.6038154917786691,0.22113497818731856,0.17504953003401222,0.5778112121410349,0.22162621835546545,0.2005625695034997,2023-05-25
2023-06-04,La Liga,Osasuna,Girona,H,0.3732523018478438,0.26729297971673666,0.35945471843541943,0.4657767679636467,0.2638139417463473,0.270409290290006,2023-05-25
2023-06-04,La Liga,Villarreal,Ath Madrid,D,0.3994793733156051,0.24703292513307326,0.35348770155132153,0.3538706479617892,0.2551593619513953,0.3909699900868155,2023-05-25
2023-08-11,La Liga,Sevilla,Valencia,A,0.5191046093552896,0.24986595474273685,0.23102943590197356,0.5039625497703883,0.28256859727010214,0.21346885295950946,2023-08-11
2023-08-11,La Liga,Almeria,Vallecano,A,0.43656545441363487,0.24658081781059488,0.31685372777577037,0.36803807395958466,0.3012250082253832,0.33073691781503217,2023-08-11
2023-08-12,La Liga,Las Palmas,Mallorca,D,0.3471828384613484,0.2765440282217302,0.3762731333169215,0.3708917323735302,0.33418231176318075,0.29492595586328907,2023-08-11
2023-08-12,La Liga,Ath Bilbao,Real Madrid,A,0.3303788257575672,0.26387825130960424,0.4057429229328285,0.2842062525375559,0.2793341453511977,0.43645960211124646,2023-08-11
2023-08-12,La Liga,Sociedad,Girona,D,0.5885487174577906,0.22376290879938882,0.18768837374282046,0.5289127605140711,0.27180239081973107,0.1992848486661979,2023-08-11
2023-08-13,La Liga,Getafe,Barcelona,D,0.1993559547272242,0.26651782118282324,0.5341262240899526,0.1305578837196696,0.2410796565714691,0.6283624597088614,2023-08-11
2023-08-13,La Liga,Celta,Osasuna,A,0.4751807630555188,0.2781854046827419,0.24663383226173954,0.45287375624501447,0.303791091145724,0.24333515260926156,2023-08-11
2023-08-13,La Liga,Villarreal,Betis,A,0.5496018659374255,0.22389336694558049,0.2265047671169939,0.5579816174903754,0.23816288551418466,0.20385549699543987,2023-08-11
2023-08-14,La Liga,Cadiz,Alaves,H,0.47263655671141436,0.26604025915745955,0.26132318413112604,0.4196267679935607,0.3303143139949312,0.25005891801150804,2023-08-11
2023-08-14,La Liga,Ath Madrid,Granada,H,0.7325355768190585,0.16609772015712665,0.10136670302381508,0.7425030563079799,0.1648608480955006,0.09263609559651939,2023-08-11
2023-08-18,La Liga,Mallorca,Villarreal,A,0.292162151271434,0.25685193621926883,0.4509859125092971,0.3467391304347826,0.3065217391304348,0.3467391304347826,2023-08-11
2023-08-18,La Liga,Valencia,Las Palmas,H,0.6381120009653832,0.20774783155068868,0.15414016748392803,0.5987442498664988,0.24707674108415006,0.15417900904935117,2023-08-11
2023-08-19,La Liga,Sociedad,Celta,D,0.5904453132687368,0.2404854627734232,0.1690692239578399,0.5774535198871876,0.2695846543119743,0.1529618258008381,2023-08-11
2023-08-19,La Liga,Almeria,Real Madrid,A,0.1885140683470566,0.1948596172410847,0.6166263144118589,0.14120500325615862,0.18512946037591788,0.6736655363679235,2023-08-11
2023-08-19,La Liga,Osasuna,Ath Bilbao,A,0.3192187080208,0.2977846680498246,0.3829966239293755,0.3309083053992231,0.32541148969491707,0.34368020490585977,2023-08-11
2023-08-20,La Liga,Girona,Getafe,H,0.49616804034134726,0.26809377849596316,0.2357381811626894,0.49360452925141546,0.30446634514573284,0.20192912560285178,2023-08-11
2023-08-20,La Liga,Barcelona,Cadiz,H,0.80896721642165,0.12810699859956143,0.06292578497878858,0.7677182510073124,0.15305775257424267,0.07922399641844502,2023-08-11
